epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55299,2.067,3.47544,1.96593,0,0,0,0,1.62004,3.59966,1.90505,0.1,0,0
2,1.77852,2.12226,3.49725,2.31577,0,0,0,0,1.66179,3.5312,1.9539,0.099001,9.99756e-07,9.99756e-07
3,2.12943,1.89848,3.32983,2.12952,0,0,0,0,1.68262,3.48189,1.96117,0.098002,1.99805e-06,1.99805e-06
4,2.35021,1.6784,3.47662,2.04468,0,0,0,0,1.66694,3.47502,1.94235,0.097003,2.99341e-06,2.99341e-06
5,2.574,2.21019,3.88249,2.09443,0,0,0,0,1.66585,3.47955,1.97037,0.096004,3.98439e-06,3.98439e-06
6,2.7943,1.68613,3.42212,2.11184,0,0,0,0,1.67236,3.88311,2.23255,0.095005,4.96953e-06,4.96953e-06
7,3.09687,1.62495,3.39187,1.99096,0,0,0,0,1.61383,3.00282,2.08601,0.0940059,5.94739e-06,5.94739e-06
8,3.39831,1.77893,3.39512,2.09788,0,0,0,0,1.52761,3.00424,1.98345,0.0930069,6.91655e-06,6.91655e-06
9,3.71115,1.4464,3.17002,1.77073,0,0,0,0,1.57028,2.9504,1.99334,0.0920079,7.87559e-06,7.87559e-06
10,4.01515,1.44701,2.94747,1.82466,0,0,0,0,1.58405,3.04832,1.85372,0.0910088,8.82311e-06,8.82311e-06
11,4.34186,1.51178,2.89086,1.61617,0,0,0,0,2.13561,3.283,2.44139,0.0900098,9.75773e-06,9.75773e-06
12,4.65403,1.61256,2.97902,2.02585,0,0,0,0,2.07577,3.49442,2.56864,0.0890107,1.06781e-05,1.06781e-05
13,4.96501,1.27276,2.34311,1.54241,0,0,0,0,2.02128,3.4665,2.41372,0.0880116,1.15829e-05,1.15829e-05
14,5.29962,1.31312,2.23231,1.58328,0,0,0,0,2.17875,3.7433,2.61398,0.0870125,1.24708e-05,1.24708e-05
15,5.624,1.64116,2.92172,2.07465,0,0,0,0,2.6204,3.76753,2.99347,0.0860133,1.33405e-05,1.33405e-05
16,5.92836,1.56847,2.7704,1.67821,0,0,0,0,2.98995,3.82445,3.26433,0.0850142,1.41907e-05,1.41907e-05
17,6.2454,1.69798,2.60885,1.75375,0,0,0,0,3.02545,3.79215,3.31245,0.084015,1.50203e-05,1.50203e-05
18,6.53823,1.56288,2.74012,1.88769,0,0,0,0,3.02545,3.79215,3.31245,0.0830158,1.58281e-05,1.58281e-05
19,6.84475,1.42123,2.38014,1.63769,0,0,0,0,3.17114,3.79056,3.40828,0.0820166,1.6613e-05,1.6613e-05
20,7.13002,1.08839,2.40785,1.78728,0,0,0,0,3.17114,3.79056,3.40828,0.0810174,1.73737e-05,1.73737e-05
21,7.44133,1.14206,2.05346,1.39205,0,0,0,0,3.1204,3.71348,3.54934,0.0800181,1.81093e-05,1.81093e-05
22,7.75119,1.34908,2.27339,1.49734,0,0,0,0,3.1204,3.71348,3.54934,0.0790188,1.88187e-05,1.88187e-05
23,8.07272,1.35646,2.14052,1.69151,0,0,0,0,3.03453,3.81352,3.54942,0.0780195,1.95009e-05,1.95009e-05
24,8.37257,1.62646,2.1271,1.93054,0,0,0,0,3.03453,3.81352,3.54942,0.0770202,2.0155e-05,2.0155e-05
25,8.6793,1.49011,2.63588,1.86679,0,0,0,0,2.98467,3.61203,3.30109,0.0760208,2.07801e-05,2.07801e-05
26,8.99077,0.895,2.17866,1.45872,0,0,0,0,2.98467,3.61203,3.30109,0.0750214,2.13754e-05,2.13754e-05
27,9.42133,1.26796,2.15993,1.4313,0,0,0,0,2.96019,3.57984,3.23267,0.0740219,2.19401e-05,2.19401e-05
28,9.72307,1.1672,1.90186,1.42484,0,0,0,0,2.96019,3.57984,3.23267,0.0730225,2.24734e-05,2.24734e-05
29,10.0295,0.78082,1.5234,1.28753,0,0,0,0,3.04263,3.56877,3.27078,0.072023,2.29747e-05,2.29747e-05
30,10.3212,1.23959,2.03789,1.49736,0,0,0,0,3.04263,3.56877,3.27078,0.0710234,2.34433e-05,2.34433e-05
31,10.6323,1.61706,1.77165,1.57711,0,0,0,0,3.0699,3.53452,3.23244,0.0700239,2.38786e-05,2.38786e-05
32,10.9287,1.39643,1.85415,1.47602,0,0,0,0,3.0699,3.53452,3.23244,0.0690243,2.42802e-05,2.42802e-05
33,11.2389,1.39947,2.36282,1.8561,0,0,0,0,2.93921,3.71652,3.09661,0.0680246,2.46475e-05,2.46475e-05
34,11.543,1.19699,1.6453,1.3406,0,0,0,0,2.93921,3.71652,3.09661,0.067025,2.49802e-05,2.49802e-05
35,11.8581,1.34772,1.91744,1.41668,0,0,0,0,3.08331,3.62027,3.19623,0.0660253,2.52779e-05,2.52779e-05
36,12.1667,1.23218,1.63095,1.36265,0,0,0,0,3.08331,3.62027,3.19623,0.0650255,2.55404e-05,2.55404e-05
37,12.4861,1.3478,1.91592,1.42803,0,0,0,0,3.00948,3.46438,3.09946,0.0640258,2.57674e-05,2.57674e-05
38,12.7913,1.24752,1.56631,1.32546,0,0,0,0,3.00948,3.46438,3.09946,0.063026,2.59588e-05,2.59588e-05
39,13.1047,1.1937,1.49194,1.52364,0,0,0,0,3.03728,3.45102,3.23304,0.0620261,2.61144e-05,2.61144e-05
40,13.3983,0.94215,1.63978,1.33386,0,0,0,0,3.03728,3.45102,3.23304,0.0610262,2.62343e-05,2.62343e-05
41,13.7174,1.35076,1.15819,1.45411,0,0,0,0,2.82029,3.39501,2.99536,0.0600263,2.63185e-05,2.63185e-05
42,14.0138,1.72065,1.51536,1.53749,0,0,0,0,2.82029,3.39501,2.99536,0.0590264,2.63671e-05,2.63671e-05
43,14.3244,1.29479,1.20086,1.38927,0,0,0,0,2.63937,3.22326,2.71995,0.0580264,2.63803e-05,2.63803e-05
44,14.6309,0.97854,1.3067,1.2027,0,0,0,0,2.63937,3.22326,2.71995,0.0570264,2.63582e-05,2.63582e-05
45,14.9393,1.08878,1.24737,1.26458,0,0,0,0,2.4411,3.09979,2.52799,0.0560263,2.63012e-05,2.63012e-05
46,15.3215,1.35152,1.49263,1.5916,0,0,0,0,2.4411,3.09979,2.52799,0.0550262,2.62096e-05,2.62096e-05
47,15.6553,1.46028,1.6249,1.72105,0,0,0,0,2.3478,2.97981,2.47929,0.0540261,2.60838e-05,2.60838e-05
48,15.9638,1.357,1.37175,1.55022,0,0,0,0,2.3478,2.97981,2.47929,0.0530259,2.59244e-05,2.59244e-05
49,16.2849,1.31357,2.39162,1.86372,0,0,0,0,2.23475,2.92162,2.31456,0.0520257,2.57319e-05,2.57319e-05
50,16.583,0.98935,1.2782,1.21436,0,0,0,0,2.23475,2.92162,2.31456,0.0510255,2.55069e-05,2.55069e-05
51,16.9043,1.10458,1.37517,1.34148,0,0,0,0,2.24688,2.91948,2.34225,0.0500252,2.525e-05,2.525e-05
52,17.1934,1.20937,1.1005,1.39302,0,0,0,0,2.24688,2.91948,2.34225,0.049025,2.4962e-05,2.4962e-05
53,17.4859,1.39712,1.73273,1.38629,0,0,0,0,2.24688,2.91948,2.34225,0.0480246,2.46438e-05,2.46438e-05
54,17.8065,1.10113,1.78602,1.79888,0,0,0,0,2.19049,2.83412,2.28313,0.0470243,2.42961e-05,2.42961e-05
55,18.0974,1.07003,1.44492,1.21456,0,0,0,0,2.19049,2.83412,2.28313,0.0460239,2.39198e-05,2.39198e-05
56,18.4017,1.38859,1.23245,1.52417,0,0,0,0,2.19049,2.83412,2.28313,0.0450235,2.35161e-05,2.35161e-05
57,18.7215,1.19183,1.39684,1.39286,0,0,0,0,2.20134,2.79243,2.27332,0.0440231,2.30858e-05,2.30858e-05
58,19.016,1.0001,1.50632,1.3526,0,0,0,0,2.20134,2.79243,2.27332,0.0430226,2.26301e-05,2.26301e-05
59,19.3118,1.13641,1.27799,1.28493,0,0,0,0,2.20134,2.79243,2.27332,0.0420222,2.21501e-05,2.21501e-05
60,19.6207,1.07804,0.93144,1.24151,0,0,0,0,2.2105,2.7733,2.2777,0.0410216,2.16471e-05,2.16471e-05
61,19.9238,0.85554,1.13544,1.33843,0,0,0,0,2.2105,2.7733,2.2777,0.0400211,2.11222e-05,2.11222e-05
62,20.2291,1.20509,1.63371,1.45955,0,0,0,0,2.2105,2.7733,2.2777,0.0390206,2.05768e-05,2.05768e-05
63,20.554,1.34434,1.39157,1.29491,0,0,0,0,2.08725,2.69459,2.15471,0.03802,2.00123e-05,2.00123e-05
64,20.8516,0.97086,1.07058,1.12548,0,0,0,0,2.08725,2.69459,2.15471,0.0370194,1.94299e-05,1.94299e-05
65,21.1439,0.99329,1.23684,1.31075,0,0,0,0,2.08725,2.69459,2.15471,0.0360188,1.88313e-05,1.88313e-05
66,21.4631,1.68325,1.39803,1.79118,0,0,0,0,1.94108,2.65802,2.04097,0.0350182,1.82179e-05,1.82179e-05
67,21.8656,0.85846,1.24958,1.13614,0,0,0,0,1.94108,2.65802,2.04097,0.0340176,1.75911e-05,1.75911e-05
68,22.163,1.23369,1.36829,1.412,0,0,0,0,1.94108,2.65802,2.04097,0.033017,1.69526e-05,1.69526e-05
69,22.4856,1.31033,1.23811,1.50956,0,0,0,0,1.79917,2.58976,1.93509,0.0320163,1.63041e-05,1.63041e-05
70,22.781,1.14595,1.31083,1.46327,0,0,0,0,1.79917,2.58976,1.93509,0.0310156,1.5647e-05,1.5647e-05
